URL,Title,Description,Licence,Status,Author,Published,Keywords,Types,Competency,Prerequisites
https://www.youtube.com/watch?v=4MQJwVB43dw,Register an account at DRAC,"In this video, you’ll learn how to register a DRAC account with the Digital Research Alliance of Canada. We walk through the sign-up process, the key information you’ll need, and what to do after your account is created so you’re ready to request access to services.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-18T17:08:20+00:00,Accounts;Introduction;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=KXaViF9Camk,Introduction To Digital Research Alliance of Canada (DRAC),"New to DRAC? This short intro explains what the Digital Research Alliance of Canada (DRAC) is, who it’s for, and what you can do with it. Learn the basics of accounts, access, and where to go next so you can start using national research computing resources with confidence.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-18T17:05:07+00:00,Introduction;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=9FeyJ7F_Daw,Job Performance Evaluation,"This video shows how to evaluate whether your job used resources effectively. We look at the kinds of indicators that help you diagnose slow runs, reduce wasted CPU/GPU time, and request more appropriate resources for future submissions.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T20:10:02+00:00,HPC;Slurm;Command line;CLI;Bash;Unix shell;scripting;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=w0B23m-PxSQ,Submit The Batch Job,"This video introduces the batch scheduler workflow on DRAC: what a job script is, what you typically need to specify, and how to submit and monitor jobs. The goal is to help you move from interactive testing to reliable batch runs.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T20:08:53+00:00,HPC;Slurm;Command line;CLI;Bash;Unix shell;scripting;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=lpI7xf5vktM,Software Module On DRAC HPC Clusters,This video explains how the module system works on DRAC HPC clusters and how to use it to manage software environments. You will see how to find available modules and load what you need.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T20:07:09+00:00,HPC;CVMFS;Software;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=a0ZYAPCsKis,Transfer Data With FileZilla,This video covers common ways to transfer data between your local computer and DRAC systems with FileZilla.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:59:22+00:00,HPC;Data transfer;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=Jta3ebSpMyM,Transfer Data With rsync,This video covers common ways to transfer data between your local computer and DRAC systems with rsync.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:58:19+00:00,HPC;Data transfer;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=0JJaFV4PEhk,Transfer Data With Globus,This video introduces how to transfer data between your local computer and DRAC systems with Globus.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:57:03+00:00,HPC;Data transfer;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=MAyLpC8zyQE,Log Into The HPC Cluster,"In this short video, we show how to access DRAC HPC systems and get to a working shell quickly. You will learn the basic login flow and what to check right after you connect so you can start working confidently.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:55:46+00:00,hpc;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=nDVCUz078T4,Access Arbutus Virtual Machine,A step-by-step tutorial of how to set up and connect to Arbutus Virtual Machine.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:53:57+00:00,Cloud;VM;Virtual machines;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=yzz_WdtFmSA,Introduction to cloud at Digital Research Alliance of Canada,This is an introduction to the cloud computing platform provided by Digital Research Alliance of Canada.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:48:02+00:00,Cloud;VM;Virtual machines;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=v1S8wPVnlG0,Logging into a remote server via SSH,This short video guides bootcamp registrants through logging into a remote server via SSH before the first session.,CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T19:46:25+00:00,HPC;SSH;Command line;CLI;Bash;Unix shell;,video;tutorial;,beginner,No previous skills or experience required
URL,Title,Description,Licence,Status,Author,Published,Keywords,Types,Competency,Prerequisites
https://www.youtube.com/watch?v=4MQJwVB43dw,Register an account at DRAC,"In this video, you’ll learn how to register a DRAC account with the Digital Research Alliance of Canada. We walk through the sign-up process, the key information you’ll need, and what to do after your account is created so you’re ready to request access to services.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-18T17:08:20+00:00,Accounts;Introduction;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=KXaViF9Camk,Introduction To Digital Research Alliance of Canada (DRAC),"New to DRAC? This short intro explains what the Digital Research Alliance of Canada (DRAC) is, who it’s for, and what you can do with it. Learn the basics of accounts, access, and where to go next so you can start using national research computing resources with confidence.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-18T17:05:07+00:00,Introduction;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=9FeyJ7F_Daw,Job Performance Evaluation,"This video shows how to evaluate whether your job used resources effectively. We look at the kinds of indicators that help you diagnose slow runs, reduce wasted CPU/GPU time, and request more appropriate resources for future submissions.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T20:10:02+00:00,HPC;Slurm;Command line;CLI;Bash;Unix shell;scripting;,video;tutorial;,beginner,No previous skills or experience required
https://www.youtube.com/watch?v=w0B23m-PxSQ,Submit The Batch Job,"This video introduces the batch scheduler workflow on DRAC: what a job script is, what you typically need to specify, and how to submit and monitor jobs. The goal is to help you move from interactive testing to reliable batch runs.",CC-BY-NC-SA-4.0,active,Jiarui Li,2026-01-16T20:08:53+00:00,HPC;Slurm;Command line;CLI;Bash;Unix shell;scripting;,video;tutorial;,beginner,No previous skills or experience required
